OTU,kingdom,phylum,class,order,family,genus,species
OTU6825,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU6826,Bacteria,Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__norank_f__Roseiflexaceae,s__uncultured_bacterium_g__norank_f__Roseiflexaceae
OTU6827,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__Bdellovibrio_sp._oral_clone_CA006
OTU6828,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_bacterium_g__norank_f__A4b
OTU6829,Bacteria,Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas,s__unclassified_g__Chthonomonas
OTU683,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU6831,Bacteria,Planctomycetota,c__028H05-P-BN-P5,o__norank_c__028H05-P-BN-P5,f__norank_o__norank_c__028H05-P-BN-P5,g__norank_f__norank_o__norank_c__028H05-P-BN-P5,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__028H05-P-BN-P5
OTU6832,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU6833,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__unclassified_f__Solirubrobacteraceae,s__unclassified_f__Solirubrobacteraceae
OTU6834,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,s__unclassified_f__Gemmatimonadaceae
OTU6835,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__unclassified_g__norank_f__norank_o__norank_c__Lineage_IIa
OTU6836,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIa
OTU6837,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__EC3,f__norank_o__EC3,g__norank_f__norank_o__EC3,s__unclassified_g__norank_f__norank_o__EC3
OTU6838,Bacteria,Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__norank_o__Kapabacteriales,g__norank_f__norank_o__Kapabacteriales,s__unclassified_g__norank_f__norank_o__Kapabacteriales
OTU6839,Bacteria,Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__norank_o__Candidatus_Kaiserbacteria,g__norank_f__norank_o__Candidatus_Kaiserbacteria,s__uncultured_bacterium_g__norank_f__norank_o__Candidatus_Kaiserbacteria
OTU684,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_bacterium_g__norank_f__norank_o__IMCC26256
OTU6840,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__unclassified_f__Parachlamydiaceae,s__unclassified_f__Parachlamydiaceae
OTU6841,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__uncultured_bacterium_g__Candidatus_Ovatusbacter
OTU6842,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU6843,Bacteria,Patescibacteria,c__Microgenomatia,o__Candidatus_Woesebacteria,f__norank_o__Candidatus_Woesebacteria,g__norank_f__norank_o__Candidatus_Woesebacteria,s__unclassified_g__norank_f__norank_o__Candidatus_Woesebacteria
OTU6844,Bacteria,Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__metagenome_g__norank_f__Fimbriimonadaceae
OTU6845,Bacteria,Patescibacteria,c__Gracilibacteria,o__Candidatus_Peribacteria,f__norank_o__Candidatus_Peribacteria,g__norank_f__norank_o__Candidatus_Peribacteria,s__metagenome_g__norank_f__norank_o__Candidatus_Peribacteria
OTU6846,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_Acidobacteria_bacterium_g__RB41
OTU6847,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__KD3-10,s__uncultured_bacterium_g__KD3-10
OTU6848,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__uncultured_bacterium_g__norank_f__Vermiphilaceae
OTU6849,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__norank_f__Babeliaceae,s__uncultured_bacterium_g__norank_f__Babeliaceae
OTU685,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__uncultured_bacterium_g__norank_f__norank_o__Microtrichales
OTU6850,Bacteria,Desulfobacterota,c__Desulfuromonadia,o__PB19,f__norank_o__PB19,g__norank_f__norank_o__PB19,s__uncultured_Desulfuromonadales_bacterium_g__norank_f__norank_o__PB19
OTU6851,Bacteria,Patescibacteria,c__Parcubacteria,o__unclassified_c__Parcubacteria,f__unclassified_c__Parcubacteria,g__unclassified_c__Parcubacteria,s__unclassified_c__Parcubacteria
OTU6852,Bacteria,Entotheonellaeota,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae,g__norank_f__Entotheonellaceae,s__uncultured_bacterium_g__norank_f__Entotheonellaceae
OTU6853,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__uncultured_bacterium_g__Conexibacter
OTU6854,Bacteria,Actinobacteriota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae,g__Rubrobacter,s__uncultured_Rubrobacter_sp.
OTU6855,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__uncultured_bacterium_g__norank_f__67-14
OTU6856,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__norank_f__Parachlamydiaceae,s__metagenome_g__norank_f__Parachlamydiaceae
OTU6857,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU6858,Bacteria,Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU6859,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,s__unclassified_f__Gemmatimonadaceae
OTU686,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU6860,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__unclassified_f__Parachlamydiaceae,s__unclassified_f__Parachlamydiaceae
OTU6861,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__uncultured_soil_bacterium_g__P3OB-42
OTU6862,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU6863,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_planctomycete_g__norank_f__Gemmataceae
OTU6864,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_planctomycete_g__norank_f__Gemmataceae
OTU6865,Bacteria,Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__unclassified_g__Haliangium
OTU6866,Bacteria,Acidobacteriota,c__Blastocatellia,o__11-24,f__norank_o__11-24,g__norank_f__norank_o__11-24,s__uncultured_bacterium_g__norank_f__norank_o__11-24
OTU6867,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__unclassified_g__Aquicella
OTU6868,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__norank_o__Chitinophagales,g__norank_f__norank_o__Chitinophagales,s__metagenome_g__norank_f__norank_o__Chitinophagales
OTU6869,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_bacterium_g__AKYG587
OTU687,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU6870,Bacteria,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__norank_f__Cryomorphaceae,s__unclassified_g__norank_f__Cryomorphaceae
OTU6871,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__unclassified_f__Parachlamydiaceae,s__unclassified_f__Parachlamydiaceae
OTU6872,Bacteria,MBNT15,c__norank_p__MBNT15,o__norank_c__norank_p__MBNT15,f__norank_o__norank_c__norank_p__MBNT15,g__norank_f__norank_o__norank_c__norank_p__MBNT15,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__MBNT15
OTU6873,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__norank_f__Micromonosporaceae,s__Micromonosporaceae_bacterium_CPCC_204380
OTU6875,Bacteria,Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,s__uncultured_Carnobacterium_sp._g__Abditibacterium
OTU6876,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_Anaerolineaceae_bacterium_g__norank_f__A4b
OTU6877,Bacteria,Chloroflexi,c__Chloroflexia,o__Kallotenuales,f__AKIW781,g__norank_f__AKIW781,s__uncultured_bacterium_g__norank_f__AKIW781
OTU6878,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU6879,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
OTU688,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_Ferrimicrobium_sp._g__norank
OTU6880,Bacteria,Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__uncultured_soil_bacterium_g__Subgroup_10
OTU6881,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__unclassified_g__Aquicella
OTU6882,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__unclassified_g__P3OB-42
OTU6883,Bacteria,Myxococcota,c__Polyangia,o__Blfdi19,f__norank_o__Blfdi19,g__norank_f__norank_o__Blfdi19,s__unclassified_g__norank_f__norank_o__Blfdi19
OTU6884,Bacteria,Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__unclassified_g__Mycobacterium
OTU6885,Bacteria,Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,s__uncultured_bacterium_g__Marmoricola
OTU6886,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
OTU6887,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU6888,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Nordella,s__uncultured_bacterium_g__Nordella
OTU6889,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__uncultured_bacterium_g__Hymenobacter
OTU689,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU6890,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84
OTU6891,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_sp._g__Pedobacter
OTU6892,Bacteria,Planctomycetota,c__BD7-11,o__norank_c__BD7-11,f__norank_o__norank_c__BD7-11,g__norank_f__norank_o__norank_c__BD7-11,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__BD7-11
OTU6893,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__unclassified_g__P3OB-42
OTU6894,Bacteria,Acidobacteriota,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_o__norank_c__Subgroup_22,g__norank_f__norank_o__norank_c__Subgroup_22,s__unclassified_g__norank_f__norank_o__norank_c__Subgroup_22
OTU6895,Bacteria,Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__JG30-KF-CM66
OTU6896,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU6897,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_Chloroflexi_bacterium_g__norank_f__norank_o__C0119
OTU6898,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__uncultured_bacterium_g__norank_f__norank_o__Microtrichales
OTU6899,Bacteria,SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
OTU69,Bacteria,Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__norank_f__Roseiflexaceae,s__uncultured_bacterium_g__norank_f__Roseiflexaceae
OTU690,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__unclassified_f__Chitinophagaceae,s__unclassified_f__Chitinophagaceae
OTU6900,Bacteria,Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU6901,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU6902,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__uncultured_bacterium_g__Candidatus_Ovatusbacter
OTU6903,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium_g__mle1-7
OTU6905,Bacteria,Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU6906,Bacteria,Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__uncultured_bacterium_g__norank_f__Fimbriimonadaceae
OTU6907,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__uncultured_bacterium_g__OM27_clade
OTU6908,Bacteria,Chloroflexi,c__Chloroflexia,o__Kallotenuales,f__AKIW781,g__norank_f__AKIW781,s__uncultured_bacterium_g__norank_f__AKIW781
OTU6909,Bacteria,Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__unclassified_f__Chthoniobacteraceae,s__unclassified_f__Chthoniobacteraceae
OTU691,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__wastewater_metagenome_g__norank_f__A4b
OTU6910,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__unclassified_g__norank_f__Gemmatimonadaceae
OTU6911,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__unclassified_g__OM27_clade
OTU6912,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinoplanes,s__uncultured_bacterium_g__Actinoplanes
OTU6913,Bacteria,Acidobacteriota,c__Subgroup_25,o__norank_c__Subgroup_25,f__norank_o__norank_c__Subgroup_25,g__norank_f__norank_o__norank_c__Subgroup_25,s__unclassified_g__norank_f__norank_o__norank_c__Subgroup_25
OTU6914,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__unclassified_g__Aquicella
OTU6915,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU6916,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU6917,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__unclassified_g__norank_f__Vermiphilaceae
OTU6918,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__bacterium_Ellin6515
OTU6919,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Adhaeribacter,s__uncultured_bacterium_g__Adhaeribacter
OTU692,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU6920,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank_f__Micropepsaceae,s__unclassified_g__norank_f__Micropepsaceae
OTU6921,Bacteria,Patescibacteria,c__Microgenomatia,o__Candidatus_Pacebacteria,f__norank_o__Candidatus_Pacebacteria,g__norank_f__norank_o__Candidatus_Pacebacteria,s__uncultured_Chloroflexi_bacterium_g__norank_f__norank_o__Candidatus_Pacebacteria
OTU6922,Bacteria,Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__uncultured_planctomycete_g__norank_f__norank_o__norank_c__Planctomycetes
OTU6923,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__metagenome_g__Hymenobacter
OTU6924,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Berkiella,s__unclassified_g__Candidatus_Berkiella
OTU6925,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__uncultured_bacterium_g__norank_f__SM2D12
OTU6926,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__norank_f__Rickettsiaceae,s__uncultured_soil_bacterium_g__norank_f__Rickettsiaceae
OTU6927,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Bogoriellaceae,g__Georgenia,s__unclassified_g__Georgenia
OTU6928,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_soil_bacterium_g__norank_f__Gemmataceae
OTU6929,Bacteria,Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinophytocola,s__uncultured_bacterium_g__Actinophytocola
OTU693,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a,s__uncultured_bacterium_g__TM7a
OTU6930,Bacteria,SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
OTU6931,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU6932,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__uncultured_Gemmatimonas_sp._g__norank_f__Gemmatimonadaceae
OTU6933,Bacteria,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
OTU6934,Bacteria,Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU6935,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
OTU6936,Bacteria,Acidobacteriota,c__Subgroup_11,o__norank_c__Subgroup_11,f__norank_o__norank_c__Subgroup_11,g__norank_f__norank_o__norank_c__Subgroup_11,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_11
OTU6937,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722,g__norank_f__AKYG1722,s__uncultured_bacterium_g__norank_f__AKYG1722
OTU6938,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_bacterium_g__norank_f__Isosphaeraceae
OTU6939,Bacteria,Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides
OTU694,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Bauldia,s__unclassified_g__Bauldia
OTU6940,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__Candidatus_Alysiosphaera,s__uncultured_Alphaproteobacteria_bacterium_g__Candidatus_Alysiosphaera
OTU6941,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__metagenome_g__norank_f__SM2D12
OTU6942,Bacteria,Acidobacteriota,c__Subgroup_18,o__norank_c__Subgroup_18,f__norank_o__norank_c__Subgroup_18,g__norank_f__norank_o__norank_c__Subgroup_18,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_18
OTU6943,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__uncultured_bacterium_g__norank_f__Vermiphilaceae
OTU6944,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU6945,Bacteria,Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__norank_f__Babeliaceae,s__unclassified_g__norank_f__Babeliaceae
OTU6946,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
OTU6947,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU6948,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__unclassified_g__norank_f__JG30-KF-CM45
OTU6949,Bacteria,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__uncultured_bacterium_g__OM27_clade
OTU695,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU6950,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_Thermomicrobia_bacterium_g__norank_f__JG30-KF-CM45
OTU6951,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
